record_id,Make,Model,Damage,Defect,Loading,Maneuver,driverVehicle_id,Plate number,Vehicle type,Engine number,Chassis number,Classification,Insurance details,same
0066dae9-a003-4824-8a72-d3ed80e07d92,Kawasaki BAjaj CT100,,Front,None,Legal,Overtaking,1cd30c98-9e3b-4b41-b404-071722b7e174,None,Motorcycle,undetermined,MD2A18AY4HWE56500,Private,,0066dae9-a003-4824-8a72-d3ed80e07d92
0066dae9-a003-4824-8a72-d3ed80e07d92,Kawasaki Bajaj CT100,,Rear,None,Legal,,4af0b250-a779-41a3-95f9-6b1890916275,5095 MZ,Tricycle,undetermined,MD2A18AZOCW862866*,Private,,0066dae9-a003-4824-8a72-d3ed80e07d92
03fcb692-3efa-442c-9518-16a01c25c552,Honda ,Wave,Front,,,Going ahead,3afc9247-a812-447e-9071-68cc42d83f98,KA-18688,Motorcycle,,,Private,,03fcb692-3efa-442c-9518-16a01c25c552
03fcb692-3efa-442c-9518-16a01c25c552,"Isuzu Forward Dropside Truck,","Isuzu Forward Dropside Truck,",,Brakes,,Going ahead,db2b60d3-0444-4eed-9240-56a4f09b152c,LEJ-414,Truck (Rigid),,,Private,,03fcb692-3efa-442c-9518-16a01c25c552
04faba3d-5390-472d-9388-1ae7f7bea00f,,"YAMAHA MIO SOUL 125, color black ",,,,,d3118128-14fe-4456-b6b2-172e0bedd5ef,"temporary plate No. 050105, OR No. 135 4148666 and CR No. 312168334 ",,,,Private,,04faba3d-5390-472d-9388-1ae7f7bea00f
0539471e-f7c2-4b7c-b74b-60d4a781312f,Isuzu forward 6 ,,Front,None,,Going ahead,5457a827-7165-4e7c-86ea-fa00ed834e5a,CAN 7139,Truck (Unknown),,,Private,,0539471e-f7c2-4b7c-b74b-60d4a781312f
0565d06b-3b68-4abb-94ec-05066a95ec62,Honda XRM,,,,,,d181a719-2b56-491d-ae94-eaba21190268,7148KQ,Motorcycle,,,Private,,0565d06b-3b68-4abb-94ec-05066a95ec62
0565d06b-3b68-4abb-94ec-05066a95ec62,motorsta,,,,,,7fe614d3-2a80-47c3-9886-1b902e14cdb6,1001-425121,Motorcycle,,,Private,,0565d06b-3b68-4abb-94ec-05066a95ec62
087e1fbc-6a47-4f75-85db-d7ae48f111c1,Honda Tmx 125,2015,Right,None,Legal,Left turn,3855a425-20d2-44ed-aaaa-84c47e607407,no plate,Tricycle,,,Private,expire registration,087e1fbc-6a47-4f75-85db-d7ae48f111c1
087e1fbc-6a47-4f75-85db-d7ae48f111c1,Isuzu Giga Wing Van,2013,Front,None,,Going ahead,7380eb7a-b255-49f9-a13a-033a7b35181e,APA 5572,Truck (Articulated),,,Private,,087e1fbc-6a47-4f75-85db-d7ae48f111c1
